Date,S&P 500 Price,S&P 500 Open,S&P 500 High,S&P 500 Low,S&P 500 Change %,10 Year Bond Price,10 Year Bond Open,10 Year Bond High,10 Year Bond Low,10 Year Bond Change %,2 Year Bond Price,2 Year Bond Open,2 Year Bond High,2 Year Bond Low,2 Year Bond Change %,US Inflation,US GDP,US Insterest,Global Inflation Rate,Global GDP,S&P 500 High - Price,S&P 500 Price -Low,S&P 500 High- Low,S&P 500 High - Open,S&P 500 Open - Low,10 Year Bond High - Price,10 Year Bond Price -Low,10 Year Bond High - Low,10 Year Bond High - Open,10 Year Bond Open - Low,2 Year Bond High - Price,2 Year Bond Price -Low,2 Year Bond High - Low,2 Year Bond High - Open,2 Year Bond Open - Low
9/22/2022,3757.99,3782.36,3790.9,3749.45,-0.0084,3.739,3.718,3.739,3.718,0.0141,4.2528,4.2313,4.2571,4.2313,0.0118,7.095109,25248.48,2.24,10.25359,95000,32.91,8.54,41.45,8.54,32.91,0,0.021,0.021,0.021,0,0.0043,0.0215,0.0258,0.0258,0
9/21/2022,3789.93,3871.4,3907.07,3789.49,-0.0171,3.687,3.714,3.829,3.659,-0.0063,4.2032,4.132,4.27,4.113,0.0207,7.095109,25248.48,2.24,10.25359,95000,117.14,0.44,117.58,35.67,81.91,0.142,0.028,0.17,0.115,0.055,0.0668,0.0902,0.157,0.138,0.019
9/20/2022,3855.93,3875.23,3876.01,3827.54,-0.0113,3.71,3.546,3.718,3.514,0.0498,4.118,4.078,4.163,4.052,0.0145,7.095109,25248.48,2.24,10.25359,95000,20.08,28.39,48.47,0.78,47.69,0.008,0.196,0.204,0.172,0.032,0.045,0.066,0.111,0.085,0.026
9/19/2022,3899.89,3849.91,3900.45,3838.5,0.0069,3.534,3.563,3.64,3.499,-0.0098,4.0591,3.96,4.123,3.912,0.0223,7.095109,25248.48,2.24,10.25359,95000,0.56,61.39,61.95,50.54,11.41,0.106,0.035,0.141,0.077,0.064,0.0639,0.1471,0.211,0.163,0.048
9/16/2022,3873.33,3880.95,3880.95,3837.08,-0.0072,3.569,3.492,3.604,3.473,0.0213,3.9707,3.948,3.992,3.931,0.0062,7.095109,25248.48,2.24,10.25359,95000,7.62,36.25,43.87,0,43.87,0.035,0.096,0.131,0.112,0.019,0.0213,0.0397,0.061,0.044,0.017
9/15/2022,3901.35,3932.41,3959.14,3888.28,-0.0113,3.494,3.448,3.518,3.448,0.0113,3.9464,3.862,3.97,3.862,0.0194,7.095109,25248.48,2.24,10.25359,95000,57.79,13.07,70.86,26.73,44.13,0.024,0.046,0.07,0.07,0,0.0236,0.0844,0.108,0.108,0
9/14/2022,3946.01,3940.73,3961.94,3912.18,0.0034,3.455,3.455,3.455,3.455,0,3.8713,3.8713,3.8713,3.8713,0,7.095109,25248.48,2.24,10.25359,95000,15.93,33.83,49.76,21.21,28.55,0,0,0,0,0,0,0,0,0,0
9/13/2022,3932.69,4037.12,4037.12,3921.28,-0.0432,3.455,3.447,3.492,3.415,0.0019,3.8713,3.869,3.924,3.846,0.0023,7.095109,25248.48,2.24,10.25359,95000,104.43,11.41,115.84,0,115.84,0.037,0.04,0.077,0.045,0.032,0.0527,0.0253,0.078,0.055,0.023
9/12/2022,4110.41,4083.67,4119.28,4083.67,0.0106,3.449,3.402,3.468,3.402,0.0131,3.8625,3.799,3.879,3.78,0.0196,7.095109,25248.48,2.24,10.25359,95000,8.87,26.74,35.61,35.61,0,0.019,0.047,0.066,0.066,0,0.0165,0.0825,0.099,0.08,0.019
9/9/2022,4067.36,4022.94,4076.81,4022.94,0.0153,3.404,3.418,3.476,3.383,-0.0022,3.7881,3.769,3.834,3.736,0.0114,7.095109,25248.48,2.24,10.25359,95000,9.45,44.42,53.87,53.87,0,0.072,0.021,0.093,0.058,0.035,0.0459,0.0521,0.098,0.065,0.033
9/8/2022,4006.18,3959.94,4010.5,3944.81,0.0066,3.412,3.346,3.46,3.293,0.0161,3.7455,3.559,3.794,3.505,0.0475,7.095109,25248.48,2.24,10.25359,95000,4.32,61.37,65.69,50.56,15.13,0.048,0.119,0.167,0.114,0.053,0.0485,0.2405,0.289,0.235,0.054
9/7/2022,3979.87,3909.43,3987.89,3906.03,0.0183,3.358,3.315,3.377,3.262,0.0128,3.5756,3.563,3.586,3.515,0.0036,7.095109,25248.48,2.24,10.25359,95000,8.02,73.84,81.86,78.46,3.4,0.019,0.096,0.115,0.062,0.053,0.0104,0.0606,0.071,0.023,0.048
9/6/2022,3908.19,3930.89,3942.55,3886.75,-0.0041,3.315,3.315,3.315,3.315,0,3.5627,3.5648,3.5648,3.5627,0,7.095109,25248.48,2.24,10.25359,95000,34.36,21.44,55.8,11.66,44.14,0,0,0,0,0,0.0021,0,0.0021,0,0.0021
9/2/2022,3924.26,3994.66,4018.43,3906.21,-0.0107,3.315,3.319,3.333,3.247,-0.0022,3.5627,3.516,3.575,3.459,0.0145,7.095109,25248.48,2.24,10.25359,95000,94.17,18.05,112.22,23.77,88.45,0.018,0.068,0.086,0.014,0.072,0.0123,0.1037,0.116,0.059,0.057
9/1/2022,3966.85,3936.73,3970.23,3903.65,0.003,3.323,3.271,3.328,3.201,0.017,3.5118,3.439,3.514,3.404,0.0211,7.095109,25248.48,2.24,10.25359,95000,3.38,63.2,66.58,33.5,33.08,0.005,0.122,0.127,0.057,0.07,0.0022,0.1078,0.11,0.075,0.035
8/31/2022,3955,4000.67,4015.37,3954.53,-0.0078,3.267,3.343,3.365,3.25,-0.025,3.4392,3.511,3.522,3.431,-0.0194,7.543644,25248.48,2.33,10.23364,95000,60.37,0.47,60.84,14.7,46.14,0.098,0.017,0.115,0.022,0.093,0.0828,0.0082,0.091,0.011,0.08
8/30/2022,3986.16,4041.25,4044.98,3965.21,-0.011,3.351,3.223,3.355,3.208,0.0396,3.5071,3.437,3.515,3.424,0.0211,7.543644,25248.48,2.33,10.23364,95000,58.82,20.95,79.77,3.73,76.04,0.004,0.143,0.147,0.132,0.015,0.0079,0.0831,0.091,0.078,0.013
8/29/2022,4030.61,4034.58,4062.99,4017.42,-0.0067,3.223,3.227,3.227,3.221,0.0089,3.4347,3.4408,3.4408,3.4347,0.0115,7.543644,25248.48,2.33,10.23364,95000,32.38,13.19,45.57,28.41,17.16,0.004,0.002,0.006,0,0.006,0.0061,0,0.0061,0,0.0061
8/26/2022,4057.66,4198.74,4203.04,4057.66,-0.0337,3.195,3.265,3.29,3.174,-0.0196,3.3955,3.514,3.52,3.387,-0.0348,7.543644,25248.48,2.33,10.23364,95000,145.38,0,145.38,4.3,141.08,0.095,0.021,0.116,0.025,0.091,0.1245,0.0085,0.133,0.006,0.127
8/25/2022,4199.12,4153.26,4200.54,4147.59,0.0141,3.259,3.198,3.297,3.183,0.0196,3.5178,3.499,3.551,3.469,0.0065,7.543644,25248.48,2.33,10.23364,95000,1.42,51.53,52.95,47.28,5.67,0.038,0.076,0.114,0.099,0.015,0.0332,0.0488,0.082,0.052,0.03
8/24/2022,4140.77,4126.55,4156.56,4119.97,0.0029,3.196,3.108,3.198,3.091,0.0272,3.495,3.448,3.503,3.425,0.0107,7.543644,25248.48,2.33,10.23364,95000,15.79,20.8,36.59,30.01,6.58,0.002,0.105,0.107,0.09,0.017,0.008,0.07,0.078,0.055,0.023
8/23/2022,4128.73,4133.09,4159.77,4124.03,-0.0022,3.112,3.097,3.153,3.05,-0.0006,3.4579,3.415,3.497,3.395,0.0077,7.543644,25248.48,2.33,10.23364,95000,31.04,4.7,35.74,26.68,9.06,0.041,0.062,0.103,0.056,0.047,0.0391,0.0629,0.102,0.082,0.02
8/22/2022,4137.99,4195.08,4195.08,4129.86,-0.0214,3.114,3.069,3.13,3.069,0.014,3.4314,3.435,3.489,3.399,-0.0018,7.543644,25248.48,2.33,10.23364,95000,57.09,8.13,65.22,0,65.22,0.016,0.045,0.061,0.061,0,0.0576,0.0324,0.09,0.054,0.036
8/19/2022,4228.48,4266.31,4266.31,4218.7,-0.0129,3.071,3.071,3.071,3.071,0.0135,3.4375,3.4416,3.4416,3.4354,0.0163,7.543644,25248.48,2.33,10.23364,95000,37.83,9.78,47.61,0,47.61,0,0,0,0,0,0.0041,0.0021,0.0062,0,0.0062
8/18/2022,4283.74,4273.13,4292.53,4261.98,0.0023,3.03,3.035,3.087,3.007,-0.0006,3.3824,3.376,3.45,3.342,0.0024,7.543644,25248.48,2.33,10.23364,95000,8.79,21.76,30.55,19.4,11.15,0.057,0.023,0.08,0.052,0.028,0.0676,0.0404,0.108,0.074,0.034
8/17/2022,4274.04,4280.4,4302.18,4253.08,-0.0072,3.031,3.109,3.128,3.02,-0.0251,3.3742,3.397,3.403,3.348,-0.0084,7.543644,25248.48,2.33,10.23364,95000,28.14,20.96,49.1,21.78,27.32,0.097,0.011,0.108,0.019,0.089,0.0288,0.0262,0.055,0.006,0.049
8/16/2022,4305.2,4290.46,4325.28,4277.77,0.0019,3.109,3.055,3.126,3.022,0.0171,3.4028,3.325,3.407,3.28,0.0306,7.543644,25248.48,2.33,10.23364,95000,20.08,27.43,47.51,34.82,12.69,0.017,0.087,0.104,0.071,0.033,0.0042,0.1228,0.127,0.082,0.045
8/15/2022,4297.14,4269.37,4301.79,4256.9,0.004,3.057,3.026,3.078,2.983,0.011,3.3018,3.312,3.35,3.232,-0.0043,7.543644,25248.48,2.33,10.23364,95000,4.65,40.24,44.89,32.42,12.47,0.021,0.074,0.095,0.052,0.043,0.0482,0.0698,0.118,0.038,0.08
8/12/2022,4280.15,4225.02,4280.47,4219.78,0.0173,3.024,2.989,3.04,2.943,0.0124,3.3161,3.261,3.348,3.247,0.0169,7.543644,25248.48,2.33,10.23364,95000,0.32,60.37,60.69,55.45,5.24,0.016,0.081,0.097,0.051,0.046,0.0319,0.0691,0.101,0.087,0.014
8/11/2022,4207.27,4227.4,4257.91,4201.41,-0.0007,2.987,2.985,2.987,2.985,0.0037,3.2611,3.259,3.2611,3.259,0.0071,7.543644,25248.48,2.33,10.23364,95000,50.64,5.86,56.5,30.51,25.99,0,0.002,0.002,0.002,0,0,0.0021,0.0021,0.0021,0
8/10/2022,4210.24,4181.02,4211.03,4177.26,0.0213,2.976,2.875,2.998,2.875,0.0312,3.238,3.202,3.295,3.202,0.0094,7.543644,25248.48,2.33,10.23364,95000,0.79,32.98,33.77,30.01,3.76,0.022,0.101,0.123,0.123,0,0.057,0.036,0.093,0.093,0
8/9/2022,4122.47,4133.11,4137.3,4112.09,-0.0042,2.886,2.899,2.913,2.835,-0.0056,3.2078,3.289,3.329,3.2,-0.0235,7.543644,25248.48,2.33,10.23364,95000,14.83,10.38,25.21,4.19,21.02,0.027,0.051,0.078,0.014,0.064,0.1212,0.0078,0.129,0.04,0.089
8/8/2022,4140.06,4155.93,4186.62,4128.97,-0.0012,2.902,2.82,2.919,2.808,0.0337,3.2849,3.272,3.375,3.258,0.0052,7.543644,25248.48,2.33,10.23364,95000,46.56,11.09,57.65,30.69,26.96,0.017,0.094,0.111,0.099,0.012,0.0901,0.0269,0.117,0.103,0.014
8/5/2022,4145.19,4115.87,4151.58,4107.31,-0.0016,2.808,2.779,2.873,2.772,0.0052,3.2678,3.18,3.274,3.17,0.0229,7.543644,25248.48,2.33,10.23364,95000,6.39,37.88,44.27,35.71,8.56,0.065,0.036,0.101,0.094,0.007,0.0062,0.0978,0.104,0.094,0.01
8/4/2022,4151.94,4154.85,4161.29,4135.42,-0.0008,2.793,2.839,2.864,2.759,-0.0172,3.1946,3.257,3.278,3.176,-0.0191,7.543644,25248.48,2.33,10.23364,95000,9.35,16.52,25.87,6.44,19.43,0.071,0.034,0.105,0.025,0.08,0.0834,0.0186,0.102,0.021,0.081
8/3/2022,4155.17,4107.96,4167.66,4107.96,0.0156,2.842,2.84,2.842,2.84,0,3.2567,3.2588,3.2609,3.2567,0.0019,7.543644,25248.48,2.33,10.23364,95000,12.49,47.21,59.7,59.7,0,0,0.002,0.002,0.002,0,0.0042,0,0.0042,0.0021,0.0021
8/2/2022,4091.19,4104.21,4140.47,4079.81,-0.0067,2.842,2.888,2.906,2.835,-0.0164,3.2505,3.229,3.267,3.171,0.0073,7.543644,25248.48,2.33,10.23364,95000,49.28,11.38,60.66,36.26,24.4,0.064,0.007,0.071,0.018,0.053,0.0165,0.0795,0.096,0.038,0.058
8/1/2022,4118.63,4112.38,4144.95,4096.02,-0.0028,2.889,2.791,2.902,2.73,0.0376,3.2268,3.216,3.243,3.132,0.002,7.543644,25248.48,2.33,10.23364,95000,26.32,22.61,48.93,32.57,16.36,0.013,0.159,0.172,0.111,0.061,0.0162,0.0948,0.111,0.027,0.084
7/29/2022,4130.29,4087.33,4140.15,4079.22,0.0142,2.785,2.788,2.818,2.674,0.002,3.2203,3.272,3.297,3.078,-0.0145,8.123869,25248.48,1.68,10.26796,95000,9.86,51.07,60.93,52.82,8.11,0.033,0.111,0.144,0.03,0.114,0.0767,0.1423,0.219,0.025,0.194
7/28/2022,4072.43,4026.13,4078.95,3992.97,0.0121,2.779,2.75,2.816,2.746,0.0106,3.2676,3.205,3.288,3.187,0.0181,8.123869,25248.48,1.68,10.26796,95000,6.52,79.46,85.98,52.82,33.16,0.037,0.033,0.07,0.066,0.004,0.0204,0.0806,0.101,0.083,0.018
7/27/2022,4023.61,3951.43,4039.56,3951.43,0.0262,2.75,2.834,2.853,2.739,-0.0291,3.2094,3.25,3.269,3.191,-0.0126,8.123869,25248.48,1.68,10.26796,95000,15.95,72.18,88.13,88.13,0,0.103,0.011,0.114,0.019,0.095,0.0596,0.0184,0.078,0.019,0.059
7/26/2022,3921.05,3953.22,3953.22,3910.74,-0.0115,2.832,2.834,2.834,2.832,0.0019,3.2504,3.2525,3.2525,3.2504,0.0064,8.123869,25248.48,1.68,10.26796,95000,32.17,10.31,42.48,0,42.48,0.002,0,0.002,0,0.002,0.0021,0,0.0021,0,0.0021
7/25/2022,3966.84,3965.72,3975.3,3943.46,0.0013,2.827,2.677,2.869,2.674,0.0494,3.2298,3.034,3.331,3.033,0.0594,8.123869,25248.48,1.68,10.26796,95000,8.46,23.38,31.84,9.58,22.26,0.042,0.153,0.195,0.192,0.003,0.1012,0.1968,0.298,0.297,0.001
7/22/2022,3961.63,3998.43,4012.44,3938.86,-0.0093,2.694,2.717,2.745,2.656,-0.0047,3.0488,3.086,3.122,3.01,-0.0066,8.123869,25248.48,1.68,10.26796,95000,50.81,22.77,73.58,14.01,59.57,0.051,0.038,0.089,0.028,0.061,0.0732,0.0388,0.112,0.036,0.076
7/21/2022,3998.95,3955.47,3999.29,3927.64,0.0099,2.706,2.745,2.851,2.699,-0.0152,3.0692,3.061,3.2,3.012,0.002,8.123869,25248.48,1.68,10.26796,95000,0.34,71.31,71.65,43.82,27.83,0.145,0.007,0.152,0.106,0.046,0.1308,0.0572,0.188,0.139,0.049
7/20/2022,3959.9,3935.32,3974.13,3922.03,0.0059,2.748,2.568,2.774,2.516,0.0621,3.063,2.874,3.086,2.819,0.0612,8.123869,25248.48,1.68,10.26796,95000,14.23,37.87,52.1,38.81,13.29,0.026,0.232,0.258,0.206,0.052,0.023,0.244,0.267,0.212,0.055
7/19/2022,3936.69,3860.73,3939.81,3860.73,0.0276,2.588,2.669,2.696,2.575,-0.031,2.8863,2.917,2.935,2.874,-0.0118,8.123869,25248.48,1.68,10.26796,95000,3.12,75.96,79.08,79.08,0,0.108,0.013,0.121,0.027,0.094,0.0487,0.0123,0.061,0.018,0.043
7/18/2022,3830.85,3883.79,3902.44,3818.63,-0.0084,2.67,2.665,2.67,2.665,0.0048,2.9209,2.9148,2.9209,2.9148,0.0105,8.123869,25248.48,1.68,10.26796,95000,71.59,12.22,83.81,18.65,65.16,0,0.005,0.005,0.005,0,0,0.0061,0.0061,0.0061,0
7/15/2022,3863.16,3818,3863.62,3817.18,0.0192,2.658,2.678,2.728,2.618,-0.0048,2.8905,2.878,2.959,2.826,0.0077,8.123869,25248.48,1.68,10.26796,95000,0.46,45.98,46.44,45.62,0.82,0.07,0.04,0.11,0.05,0.06,0.0685,0.0645,0.133,0.081,0.052
7/14/2022,3790.38,3763.99,3796.41,3721.56,-0.003,2.671,2.759,2.827,2.649,-0.0411,2.8683,2.986,3.022,2.816,-0.0387,8.123869,25248.48,1.68,10.26796,95000,6.03,68.82,74.85,32.42,42.43,0.156,0.022,0.178,0.068,0.11,0.1537,0.0523,0.206,0.036,0.17
7/13/2022,3801.78,3779.67,3829.44,3759.07,-0.0045,2.785,2.801,2.82,2.723,-0.0065,2.9837,3.055,3.108,2.961,-0.0246,8.123869,25248.48,1.68,10.26796,95000,27.66,42.71,70.37,49.77,20.6,0.035,0.062,0.097,0.019,0.078,0.1243,0.0227,0.147,0.053,0.094
7/12/2022,3818.8,3851.95,3873.41,3802.36,-0.0092,2.803,2.801,2.81,2.707,-0.0013,3.0589,3.016,3.065,2.978,0.0135,8.123869,25248.48,1.68,10.26796,95000,54.61,16.44,71.05,21.46,49.59,0.007,0.096,0.103,0.009,0.094,0.0061,0.0809,0.087,0.049,0.038
7/11/2022,3854.43,3880.94,3880.94,3847.22,-0.0115,2.807,2.783,2.845,2.772,0.0079,3.0182,3.01,3.041,2.98,0.0049,8.123869,25248.48,1.68,10.26796,95000,26.51,7.21,33.72,0,33.72,0.038,0.035,0.073,0.062,0.011,0.0228,0.0382,0.061,0.031,0.03
7/8/2022,3899.38,3888.26,3918.5,3869.34,-0.0008,2.785,2.787,2.787,2.785,0.0113,3.0035,3.0077,3.0077,3.0035,0.0106,8.123869,25248.48,1.68,10.26796,95000,19.12,30.04,49.16,30.24,18.92,0.002,0,0.002,0,0.002,0.0042,0,0.0042,0,0.0042
7/7/2022,3902.62,3858.85,3910.63,3858.85,0.015,2.754,2.878,2.904,2.732,-0.0444,2.9721,3.106,3.144,2.905,-0.0399,8.123869,25248.48,1.68,10.26796,95000,8.01,43.77,51.78,51.78,0,0.15,0.022,0.172,0.026,0.146,0.1719,0.0671,0.239,0.038,0.201
7/6/2022,3845.08,3831.98,3870.91,3809.37,0.0036,2.882,3.021,3.083,2.871,-0.0489,3.0955,3.231,3.276,3.081,-0.0433,8.123869,25248.48,1.68,10.26796,95000,25.83,35.71,61.54,38.93,22.61,0.201,0.011,0.212,0.062,0.15,0.1805,0.0145,0.195,0.045,0.15
7/5/2022,3831.39,3792.61,3832.19,3742.06,0.0016,3.03,3.028,3.042,2.943,0.0006,3.2356,3.244,3.257,3.162,-0.0019,8.123869,25248.48,1.68,10.26796,95000,0.8,89.33,90.13,39.58,50.55,0.012,0.087,0.099,0.014,0.085,0.0214,0.0736,0.095,0.013,0.082
7/1/2022,3825.33,3781,3829.82,3752.1,0.0106,3.028,2.986,3.038,2.956,0.0131,3.2416,3.177,3.246,3.137,0.0225,8.123869,25248.48,1.68,10.26796,95000,4.49,73.23,77.72,48.82,28.9,0.01,0.072,0.082,0.052,0.03,0.0044,0.1046,0.109,0.069,0.04
6/30/2022,3785.38,3785.99,3818.99,3738.67,-0.0088,2.989,2.919,3.019,2.911,0.0209,3.1702,3.124,3.193,3.112,0.0127,8.123869,25248.48,1.21,9.658562,95000,33.61,46.71,80.32,33,47.32,0.03,0.078,0.108,0.1,0.008,0.0228,0.0582,0.081,0.069,0.012
6/29/2022,3818.83,3825.09,3836.5,3799.02,-0.0007,2.928,2.928,2.928,2.928,0,3.1305,3.1305,3.1305,3.1305,0,8.524815,25248.48,1.21,9.658562,95000,17.67,19.81,37.48,11.41,26.07,0,0,0,0,0,0,0,0,0,0
6/28/2022,3821.55,3913,3945.86,3820.14,-0.0201,2.928,2.956,2.973,2.899,-0.01,3.1305,3.132,3.187,3.058,0.0008,8.524815,25248.48,1.21,9.658562,95000,124.31,1.41,125.72,32.86,92.86,0.045,0.029,0.074,0.017,0.057,0.0565,0.0725,0.129,0.055,0.074
6/27/2022,3900.11,3920.76,3927.72,3889.66,-0.003,2.958,2.941,3.028,2.911,0.0075,3.1279,3.175,3.269,3.109,-0.0065,8.524815,25248.48,1.21,9.658562,95000,27.61,10.45,38.06,6.96,31.1,0.07,0.047,0.117,0.087,0.03,0.1411,0.0189,0.16,0.094,0.066
6/24/2022,3911.74,3821.75,3913.65,3821.75,0.0306,2.935,2.965,3.071,2.899,-0.0118,3.1485,3.051,3.215,3.029,0.0319,8.524815,25248.48,1.21,9.658562,95000,1.91,89.99,91.9,91.9,0,0.136,0.036,0.172,0.106,0.066,0.0665,0.1195,0.186,0.164,0.022
6/23/2022,3795.73,3774.71,3802.58,3743.52,0.0095,2.971,2.989,2.989,2.899,-0.0074,3.0512,3.068,3.07,2.981,-0.006,8.524815,25248.48,1.21,9.658562,95000,6.85,52.21,59.06,27.87,31.19,0.018,0.072,0.09,0,0.09,0.0188,0.0702,0.089,0.002,0.087
6/22/2022,3759.89,3733.89,3801.79,3717.69,-0.0013,2.993,3.097,3.103,2.967,-0.0337,3.0697,3.125,3.132,3.012,-0.0172,8.524815,25248.48,1.21,9.658562,95000,41.9,42.2,84.1,67.9,16.2,0.11,0.026,0.136,0.006,0.13,0.0623,0.0577,0.12,0.007,0.113
6/21/2022,3764.79,3715.31,3779.65,3715.31,0.0245,3.097,3.101,3.101,3.097,0.0055,3.1233,3.1274,3.1274,3.1233,0.006,8.524815,25248.48,1.21,9.658562,95000,14.86,49.48,64.34,64.34,0,0.004,0,0.004,0,0.004,0.0041,0,0.0041,0,0.0041
6/17/2022,3674.84,3665.9,3707.71,3636.87,0.0022,3.08,3,3.101,2.967,0.0267,3.1047,3.024,3.148,2.992,0.0266,8.524815,25248.48,1.21,9.658562,95000,32.87,37.97,70.84,41.81,29.03,0.021,0.113,0.134,0.101,0.033,0.0433,0.1127,0.156,0.124,0.032
6/16/2022,3666.77,3728.18,3728.18,3639.77,-0.0325,3,2.932,3.017,2.897,0.0227,3.0244,3,3.061,2.957,0.0096,8.524815,25248.48,1.21,9.658562,95000,61.41,27,88.41,0,88.41,0.017,0.103,0.12,0.085,0.035,0.0366,0.0674,0.104,0.061,0.043
6/15/2022,3789.99,3764.05,3837.56,3722.3,0.0146,2.934,2.825,2.935,2.746,0.0409,2.9957,2.837,3.006,2.761,0.0614,8.524815,25248.48,1.21,9.658562,95000,47.57,67.69,115.26,73.51,41.75,0.001,0.188,0.189,0.11,0.079,0.0103,0.2347,0.245,0.169,0.076
6/14/2022,3735.48,3763.52,3778.18,3705.68,-0.0038,2.818,2.93,2.978,2.78,-0.0387,2.8225,2.91,2.965,2.776,-0.0301,8.524815,25248.48,1.21,9.658562,95000,42.7,29.8,72.5,14.66,57.84,0.16,0.038,0.198,0.048,0.15,0.1425,0.0465,0.189,0.055,0.134
6/13/2022,3749.63,3838.15,3838.15,3734.3,-0.0388,2.932,2.93,2.934,2.93,0.0146,2.9102,2.9163,2.9244,2.9102,0.0251,8.524815,25248.48,1.21,9.658562,95000,88.52,15.33,103.85,0,103.85,0.002,0.002,0.004,0.004,0,0.0142,0,0.0142,0.0081,0.0061
6/10/2022,3900.86,3974.39,3974.39,3900.16,-0.0291,2.889,3.024,3.028,2.791,-0.0422,2.839,2.984,2.986,2.729,-0.0394,8.524815,25248.48,1.21,9.658562,95000,73.53,0.7,74.23,0,74.23,0.139,0.098,0.237,0.004,0.233,0.147,0.11,0.257,0.002,0.255
6/9/2022,4017.82,4101.65,4119.1,4017.17,-0.0238,3.017,3.078,3.108,2.97,-0.0229,2.9554,3.03,3.055,2.921,-0.0287,8.524815,25248.48,1.21,9.658562,95000,101.28,0.65,101.93,17.45,84.48,0.091,0.047,0.138,0.03,0.108,0.0996,0.0344,0.134,0.025,0.109
6/8/2022,4115.77,4147.12,4160.14,4107.2,-0.0108,3.087,3.179,3.187,3.087,-0.0283,3.0426,3.112,3.138,3.04,-0.0222,8.524815,25248.48,1.21,9.658562,95000,44.37,8.57,52.94,13.02,39.92,0.1,0,0.1,0.008,0.092,0.0954,0.0026,0.098,0.026,0.072
